id,gameType,type,points,t1Points,t1Multiplier,t2Points,t2Multiplier,t3Points,t3Multiplier
123,CLASSIC,DOUBLE,41,9,SINGLE,16,DOUBLE,,
124,CLASSIC,DOUBLE,40,20,DOUBLE,,,,
125,CLASSIC,DOUBLE,39,7,SINGLE,16,DOUBLE,,
126,CLASSIC,DOUBLE,38,19,DOUBLE,,,,
127,CLASSIC,DOUBLE,37,5,SINGLE,16,DOUBLE,,
128,CLASSIC,DOUBLE,36,18,DOUBLE,,,,
129,CLASSIC,DOUBLE,35,3,SINGLE,16,DOUBLE,,
130,CLASSIC,DOUBLE,34,17,DOUBLE,,,,
131,CLASSIC,DOUBLE,33,1,SINGLE,16,DOUBLE,,
132,CLASSIC,DOUBLE,32,16,DOUBLE,,,,
133,CLASSIC,DOUBLE,31,15,SINGLE,8,DOUBLE,,
134,CLASSIC,DOUBLE,30,15,DOUBLE,,,,
135,CLASSIC,DOUBLE,29,13,SINGLE,8,DOUBLE,,
136,CLASSIC,DOUBLE,28,14,DOUBLE,,,,
137,CLASSIC,DOUBLE,27,11,SINGLE,8,DOUBLE,,
138,CLASSIC,DOUBLE,26,13,DOUBLE,,,,
139,CLASSIC,DOUBLE,25,9,SINGLE,8,DOUBLE,,
140,CLASSIC,DOUBLE,24,12,DOUBLE,,,,
141,CLASSIC,DOUBLE,23,7,SINGLE,8,DOUBLE,,
142,CLASSIC,DOUBLE,22,11,DOUBLE,,,,
143,CLASSIC,DOUBLE,21,5,SINGLE,8,DOUBLE,,
144,CLASSIC,DOUBLE,20,10,DOUBLE,,,,
145,CLASSIC,DOUBLE,19,3,SINGLE,8,DOUBLE,,
146,CLASSIC,DOUBLE,18,9,DOUBLE,,,,
147,CLASSIC,DOUBLE,17,1,SINGLE,8,DOUBLE,,
148,CLASSIC,DOUBLE,16,8,DOUBLE,,,,
149,CLASSIC,DOUBLE,15,7,SINGLE,4,DOUBLE,,
150,CLASSIC,DOUBLE,14,7,DOUBLE,,,,
151,CLASSIC,DOUBLE,13,5,SINGLE,4,DOUBLE,,
152,CLASSIC,DOUBLE,12,6,DOUBLE,,,,
153,CLASSIC,DOUBLE,11,3,SINGLE,4,DOUBLE,,
154,CLASSIC,DOUBLE,10,5,DOUBLE,,,,
155,CLASSIC,DOUBLE,9,1,SINGLE,4,DOUBLE,,
156,CLASSIC,DOUBLE,8,4,DOUBLE,,,,
157,CLASSIC,DOUBLE,7,3,SINGLE,2,DOUBLE,,
158,CLASSIC,DOUBLE,6,3,DOUBLE,,,,
159,CLASSIC,DOUBLE,5,1,SINGLE,2,DOUBLE,,
160,CLASSIC,DOUBLE,4,2,DOUBLE,,,,
161,CLASSIC,DOUBLE,3,1,SINGLE,1,DOUBLE,,
162,CLASSIC,DOUBLE,2,1,DOUBLE,,,,
163,CLASSIC,TRIPLE,180,20,TRIPLE,20,TRIPLE,20,TRIPLE
164,CLASSIC,TRIPLE,177,19,TRIPLE,20,TRIPLE,20,TRIPLE
165,CLASSIC,TRIPLE,174,18,TRIPLE,20,TRIPLE,20,TRIPLE
166,CLASSIC,TRIPLE,171,17,TRIPLE,20,TRIPLE,20,TRIPLE
167,CLASSIC,TRIPLE,170,20,TRIPLE,25,DOUBLE,20,TRIPLE
168,CLASSIC,TRIPLE,168,16,TRIPLE,20,TRIPLE,20,TRIPLE
169,CLASSIC,TRIPLE,167,19,TRIPLE,25,DOUBLE,20,TRIPLE
170,CLASSIC,TRIPLE,165,15,TRIPLE,20,TRIPLE,20,TRIPLE
171,CLASSIC,TRIPLE,164,18,TRIPLE,25,DOUBLE,20,TRIPLE
172,CLASSIC,TRIPLE,162,14,TRIPLE,20,TRIPLE,20,TRIPLE
173,CLASSIC,TRIPLE,161,17,TRIPLE,25,DOUBLE,20,TRIPLE
174,CLASSIC,TRIPLE,160,20,TRIPLE,20,DOUBLE,20,TRIPLE
175,CLASSIC,TRIPLE,159,13,TRIPLE,20,TRIPLE,20,TRIPLE
176,CLASSIC,TRIPLE,158,16,TRIPLE,25,DOUBLE,20,TRIPLE
177,CLASSIC,TRIPLE,157,19,TRIPLE,20,DOUBLE,20,TRIPLE
178,CLASSIC,TRIPLE,156,12,TRIPLE,20,TRIPLE,20,TRIPLE
179,CLASSIC,TRIPLE,155,15,TRIPLE,25,DOUBLE,20,TRIPLE
180,CLASSIC,TRIPLE,154,18,TRIPLE,20,DOUBLE,20,TRIPLE
181,CLASSIC,TRIPLE,153,11,TRIPLE,20,TRIPLE,20,TRIPLE
182,CLASSIC,TRIPLE,152,14,TRIPLE,25,DOUBLE,20,TRIPLE
183,CLASSIC,TRIPLE,151,17,TRIPLE,20,DOUBLE,20,TRIPLE
184,CLASSIC,TRIPLE,150,10,TRIPLE,20,TRIPLE,20,TRIPLE
185,CLASSIC,TRIPLE,149,13,TRIPLE,25,DOUBLE,20,TRIPLE
186,CLASSIC,TRIPLE,148,16,TRIPLE,20,DOUBLE,20,TRIPLE
187,CLASSIC,TRIPLE,147,9,TRIPLE,20,TRIPLE,20,TRIPLE
188,CLASSIC,TRIPLE,146,12,TRIPLE,25,DOUBLE,20,TRIPLE
189,CLASSIC,TRIPLE,145,15,TRIPLE,20,DOUBLE,20,TRIPLE
190,CLASSIC,TRIPLE,144,8,TRIPLE,20,TRIPLE,20,TRIPLE
191,CLASSIC,TRIPLE,143,11,TRIPLE,25,DOUBLE,20,TRIPLE
192,CLASSIC,TRIPLE,142,14,TRIPLE,20,DOUBLE,20,TRIPLE
193,CLASSIC,TRIPLE,141,7,TRIPLE,20,TRIPLE,20,TRIPLE
194,CLASSIC,TRIPLE,140,10,TRIPLE,25,DOUBLE,20,TRIPLE
195,CLASSIC,TRIPLE,139,13,TRIPLE,20,DOUBLE,20,TRIPLE
196,CLASSIC,TRIPLE,138,6,TRIPLE,20,TRIPLE,20,TRIPLE
197,CLASSIC,TRIPLE,137,9,TRIPLE,25,DOUBLE,20,TRIPLE
198,CLASSIC,TRIPLE,136,12,TRIPLE,20,DOUBLE,20,TRIPLE
199,CLASSIC,TRIPLE,135,5,TRIPLE,20,TRIPLE,20,TRIPLE
200,CLASSIC,TRIPLE,134,8,TRIPLE,25,DOUBLE,20,TRIPLE
201,CLASSIC,TRIPLE,133,11,TRIPLE,20,DOUBLE,20,TRIPLE
202,CLASSIC,TRIPLE,132,4,TRIPLE,20,TRIPLE,20,TRIPLE
203,CLASSIC,TRIPLE,131,7,TRIPLE,25,DOUBLE,20,TRIPLE
204,CLASSIC,TRIPLE,130,10,TRIPLE,20,DOUBLE,20,TRIPLE
205,CLASSIC,TRIPLE,129,3,TRIPLE,20,TRIPLE,20,TRIPLE
206,CLASSIC,TRIPLE,128,6,TRIPLE,25,DOUBLE,20,TRIPLE
207,CLASSIC,TRIPLE,127,9,TRIPLE,20,DOUBLE,20,TRIPLE
208,CLASSIC,TRIPLE,126,2,TRIPLE,20,TRIPLE,20,TRIPLE
209,CLASSIC,TRIPLE,125,5,TRIPLE,25,DOUBLE,20,TRIPLE
210,CLASSIC,TRIPLE,124,8,TRIPLE,20,DOUBLE,20,TRIPLE
211,CLASSIC,TRIPLE,123,1,TRIPLE,20,TRIPLE,20,TRIPLE
212,CLASSIC,TRIPLE,122,4,TRIPLE,25,DOUBLE,20,TRIPLE
213,CLASSIC,TRIPLE,121,7,TRIPLE,20,DOUBLE,20,TRIPLE
214,CLASSIC,TRIPLE,120,20,TRIPLE,20,TRIPLE,,
215,CLASSIC,TRIPLE,119,3,TRIPLE,25,DOUBLE,20,TRIPLE
216,CLASSIC,TRIPLE,118,6,TRIPLE,20,DOUBLE,20,TRIPLE
217,CLASSIC,TRIPLE,117,19,TRIPLE,20,TRIPLE,,
218,CLASSIC,TRIPLE,116,2,TRIPLE,25,DOUBLE,20,TRIPLE
219,CLASSIC,TRIPLE,115,5,TRIPLE,20,DOUBLE,20,TRIPLE
220,CLASSIC,TRIPLE,114,18,TRIPLE,20,TRIPLE,,
221,CLASSIC,TRIPLE,113,1,TRIPLE,25,DOUBLE,20,TRIPLE
222,CLASSIC,TRIPLE,112,4,TRIPLE,20,DOUBLE,20,TRIPLE
223,CLASSIC,TRIPLE,111,17,TRIPLE,20,TRIPLE,,
224,CLASSIC,TRIPLE,110,20,TRIPLE,25,DOUBLE,,
225,CLASSIC,TRIPLE,109,3,TRIPLE,20,DOUBLE,20,TRIPLE
226,CLASSIC,TRIPLE,108,16,TRIPLE,20,TRIPLE,,
227,CLASSIC,TRIPLE,107,19,TRIPLE,25,DOUBLE,,
228,CLASSIC,TRIPLE,106,2,TRIPLE,20,DOUBLE,20,TRIPLE
229,CLASSIC,TRIPLE,105,15,TRIPLE,20,TRIPLE,,
230,CLASSIC,TRIPLE,104,18,TRIPLE,25,DOUBLE,,
231,CLASSIC,TRIPLE,103,1,TRIPLE,20,DOUBLE,20,TRIPLE
232,CLASSIC,TRIPLE,102,14,TRIPLE,20,TRIPLE,,
233,CLASSIC,TRIPLE,101,17,TRIPLE,25,DOUBLE,,
234,CLASSIC,TRIPLE,100,20,TRIPLE,20,DOUBLE,,
235,CLASSIC,TRIPLE,99,13,TRIPLE,20,TRIPLE,,
236,CLASSIC,TRIPLE,98,16,TRIPLE,25,DOUBLE,,
237,CLASSIC,TRIPLE,97,19,TRIPLE,20,DOUBLE,,
238,CLASSIC,TRIPLE,96,12,TRIPLE,20,TRIPLE,,
239,CLASSIC,TRIPLE,95,15,TRIPLE,25,DOUBLE,,
240,CLASSIC,TRIPLE,94,18,TRIPLE,20,DOUBLE,,
241,CLASSIC,TRIPLE,93,11,TRIPLE,20,TRIPLE,,
242,CLASSIC,TRIPLE,92,14,TRIPLE,25,DOUBLE,,
243,CLASSIC,TRIPLE,91,17,TRIPLE,20,DOUBLE,,
244,CLASSIC,TRIPLE,90,10,TRIPLE,20,TRIPLE,,
245,CLASSIC,TRIPLE,89,13,TRIPLE,25,DOUBLE,,
246,CLASSIC,TRIPLE,88,16,TRIPLE,20,DOUBLE,,
247,CLASSIC,TRIPLE,87,9,TRIPLE,20,TRIPLE,,
248,CLASSIC,TRIPLE,86,12,TRIPLE,25,DOUBLE,,
249,CLASSIC,TRIPLE,85,15,TRIPLE,20,DOUBLE,,
250,CLASSIC,TRIPLE,84,8,TRIPLE,20,TRIPLE,,
251,CLASSIC,TRIPLE,83,11,TRIPLE,25,DOUBLE,,
252,CLASSIC,TRIPLE,82,14,TRIPLE,20,DOUBLE,,
253,CLASSIC,TRIPLE,81,7,TRIPLE,20,TRIPLE,,
254,CLASSIC,TRIPLE,80,10,TRIPLE,25,DOUBLE,,
255,CLASSIC,TRIPLE,79,13,TRIPLE,20,DOUBLE,,
256,CLASSIC,TRIPLE,78,6,TRIPLE,20,TRIPLE,,
257,CLASSIC,TRIPLE,77,9,TRIPLE,25,DOUBLE,,
258,CLASSIC,TRIPLE,76,12,TRIPLE,20,DOUBLE,,
259,CLASSIC,TRIPLE,75,5,TRIPLE,20,TRIPLE,,
260,CLASSIC,TRIPLE,74,8,TRIPLE,25,DOUBLE,,
261,CLASSIC,TRIPLE,73,11,TRIPLE,20,DOUBLE,,
262,CLASSIC,TRIPLE,72,4,TRIPLE,20,TRIPLE,,
263,CLASSIC,TRIPLE,71,7,TRIPLE,25,DOUBLE,,
264,CLASSIC,TRIPLE,70,10,TRIPLE,20,DOUBLE,,
265,CLASSIC,TRIPLE,69,3,TRIPLE,20,TRIPLE,,
266,CLASSIC,TRIPLE,68,6,TRIPLE,25,DOUBLE,,
267,CLASSIC,TRIPLE,67,9,TRIPLE,20,DOUBLE,,
268,CLASSIC,TRIPLE,66,2,TRIPLE,20,TRIPLE,,
269,CLASSIC,TRIPLE,65,5,TRIPLE,25,DOUBLE,,
270,CLASSIC,TRIPLE,64,8,TRIPLE,20,DOUBLE,,
271,CLASSIC,TRIPLE,63,1,TRIPLE,20,TRIPLE,,
272,CLASSIC,TRIPLE,62,4,TRIPLE,25,DOUBLE,,
273,CLASSIC,TRIPLE,61,7,TRIPLE,20,DOUBLE,,
274,CLASSIC,TRIPLE,60,20,TRIPLE,,,,
275,CLASSIC,TRIPLE,59,3,TRIPLE,25,DOUBLE,,
276,CLASSIC,TRIPLE,58,6,TRIPLE,20,DOUBLE,,
277,CLASSIC,TRIPLE,57,19,TRIPLE,,,,
278,CLASSIC,TRIPLE,56,2,TRIPLE,25,DOUBLE,,
279,CLASSIC,TRIPLE,55,5,TRIPLE,20,DOUBLE,,
280,CLASSIC,TRIPLE,54,18,TRIPLE,,,,
281,CLASSIC,TRIPLE,53,1,TRIPLE,25,DOUBLE,,
282,CLASSIC,TRIPLE,52,4,TRIPLE,20,DOUBLE,,
283,CLASSIC,TRIPLE,51,17,TRIPLE,,,,
284,CLASSIC,TRIPLE,50,4,TRIPLE,19,DOUBLE,,
285,CLASSIC,TRIPLE,49,3,TRIPLE,20,DOUBLE,,
286,CLASSIC,TRIPLE,48,16,TRIPLE,,,,
287,CLASSIC,TRIPLE,47,3,TRIPLE,19,DOUBLE,,
288,CLASSIC,TRIPLE,46,2,TRIPLE,20,DOUBLE,,
289,CLASSIC,TRIPLE,45,15,TRIPLE,,,,
290,CLASSIC,TRIPLE,44,2,TRIPLE,19,DOUBLE,,
291,CLASSIC,TRIPLE,43,1,TRIPLE,20,DOUBLE,,
292,CLASSIC,TRIPLE,42,14,TRIPLE,,,,
293,CLASSIC,TRIPLE,41,1,TRIPLE,19,DOUBLE,,
294,CLASSIC,TRIPLE,40,2,TRIPLE,17,DOUBLE,,
295,CLASSIC,TRIPLE,39,13,TRIPLE,,,,
296,CLASSIC,TRIPLE,38,2,TRIPLE,16,DOUBLE,,
297,CLASSIC,TRIPLE,37,1,TRIPLE,17,DOUBLE,,
298,CLASSIC,TRIPLE,36,12,TRIPLE,,,,
299,CLASSIC,TRIPLE,35,1,TRIPLE,16,DOUBLE,,
300,CLASSIC,TRIPLE,34,2,TRIPLE,14,DOUBLE,,
301,CLASSIC,TRIPLE,33,11,TRIPLE,,,,
302,CLASSIC,TRIPLE,32,2,TRIPLE,13,DOUBLE,,
303,CLASSIC,TRIPLE,31,1,TRIPLE,14,DOUBLE,,
304,CLASSIC,TRIPLE,30,10,TRIPLE,,,,
305,CLASSIC,TRIPLE,29,1,TRIPLE,13,DOUBLE,,
306,CLASSIC,TRIPLE,28,1,TRIPLE,25,SINGLE,,
307,CLASSIC,TRIPLE,27,9,TRIPLE,,,,
308,CLASSIC,TRIPLE,26,2,TRIPLE,10,DOUBLE,,
309,CLASSIC,TRIPLE,25,1,TRIPLE,11,DOUBLE,,
310,CLASSIC,TRIPLE,24,8,TRIPLE,,,,
311,CLASSIC,TRIPLE,23,1,TRIPLE,10,DOUBLE,,
312,CLASSIC,TRIPLE,22,1,TRIPLE,19,SINGLE,,
313,CLASSIC,TRIPLE,21,7,TRIPLE,,,,
314,CLASSIC,TRIPLE,20,1,TRIPLE,17,SINGLE,,
315,CLASSIC,TRIPLE,19,1,TRIPLE,8,DOUBLE,,
316,CLASSIC,TRIPLE,18,6,TRIPLE,,,,
317,CLASSIC,TRIPLE,17,1,TRIPLE,7,DOUBLE,,
318,CLASSIC,TRIPLE,16,1,TRIPLE,13,SINGLE,,
319,CLASSIC,TRIPLE,15,5,TRIPLE,,,,
320,CLASSIC,TRIPLE,14,1,TRIPLE,11,SINGLE,,
321,CLASSIC,TRIPLE,13,1,TRIPLE,5,DOUBLE,,
322,CLASSIC,TRIPLE,12,4,TRIPLE,,,,
323,CLASSIC,TRIPLE,11,1,TRIPLE,4,DOUBLE,,
324,CLASSIC,TRIPLE,10,1,TRIPLE,7,SINGLE,,
325,CLASSIC,TRIPLE,9,3,TRIPLE,,,,
326,CLASSIC,TRIPLE,8,1,TRIPLE,5,SINGLE,,
327,CLASSIC,TRIPLE,7,1,TRIPLE,2,DOUBLE,,
328,CLASSIC,TRIPLE,6,2,TRIPLE,,,,
329,CLASSIC,TRIPLE,5,1,TRIPLE,1,DOUBLE,,
330,CLASSIC,TRIPLE,4,1,TRIPLE,1,SINGLE,,
331,CLASSIC,TRIPLE,3,1,TRIPLE,,,,
332,CLASSIC,SINGLE,145,20,TRIPLE,20,TRIPLE,25,SINGLE
333,CLASSIC,SINGLE,144,20,TRIPLE,20,TRIPLE,8,TRIPLE
334,CLASSIC,SINGLE,143,20,TRIPLE,19,TRIPLE,13,DOUBLE
335,CLASSIC,SINGLE,142,20,TRIPLE,20,TRIPLE,11,DOUBLE
336,CLASSIC,SINGLE,141,20,TRIPLE,19,TRIPLE,12,DOUBLE
337,CLASSIC,SINGLE,140,20,TRIPLE,20,TRIPLE,20,SINGLE
338,CLASSIC,SINGLE,139,20,TRIPLE,19,TRIPLE,11,DOUBLE
339,CLASSIC,SINGLE,138,20,TRIPLE,20,TRIPLE,18,SINGLE
340,CLASSIC,SINGLE,137,20,TRIPLE,19,TRIPLE,20,SINGLE
341,CLASSIC,SINGLE,136,20,TRIPLE,20,TRIPLE,16,SINGLE
342,CLASSIC,SINGLE,135,20,TRIPLE,20,TRIPLE,15,SINGLE
343,CLASSIC,SINGLE,134,20,TRIPLE,20,TRIPLE,14,SINGLE
344,CLASSIC,SINGLE,133,20,TRIPLE,18,TRIPLE,19,SINGLE
345,CLASSIC,SINGLE,132,20,TRIPLE,20,TRIPLE,12,SINGLE
346,CLASSIC,SINGLE,131,20,TRIPLE,17,TRIPLE,20,SINGLE
347,CLASSIC,SINGLE,130,20,TRIPLE,20,TRIPLE,10,SINGLE
348,CLASSIC,SINGLE,129,20,TRIPLE,17,TRIPLE,18,SINGLE
349,CLASSIC,SINGLE,128,20,TRIPLE,20,TRIPLE,8,SINGLE
